Index1	Index2	SampleName
F_8	R_5_RevComp_A	P84_5.15.20_CovA.8C
F_8	R_6_RevComp_A	P84_5.22.20_CovA.8D
F_8	R_8_RevComp_A	P93_5.19.20_CovA.8E
F_8	R_10_RevComp_A	P93_5.29.20_CovA.8F
F_8	R_11_RevComp_A	P91_5.21.20_CovA.8G
F_8	R_23_RevComp_A	P91_5.28.20_CovA.8H
F_9	R_2_RevComp	P74_5.11.20_CovA.9A
F_9	R_4_RevComp_A	P74_5.18.20_CovA.9B
F_9	R_5_RevComp_A	P45_5.16.20_CovA.9C
F_9	R_6_RevComp_A	P45_5.25.20_CovA.9D
F_9	R_8_RevComp_A	Superblock_PCV_A
F_9	R_10_RevComp_A	Superblock_PCV_B
F_9	R_11_RevComp_A	JA_Serum_PCV_A
F_9	R_23_RevComp_A	JA_Serum_PCV_B
F_10	R_2_RevComp	P03_2.25.20_8.2A
F_10	R_4_RevComp_A	P10_2.21.20_8.2D
F_10	R_5_RevComp_A	D09_3.8.20_8.5B
F_10	R_6_RevComp_A	D08_3.18.20_8.5C
F_10	R_8_RevComp_A	D06_3.19.20_8.5D
F_10	R_10_RevComp_A	D10_4.2.20_8.8H
F_10	R_11_RevComp_A	D06_5.1.20_8.9F
F_10	R_23_RevComp_A	D08_5.1.2.20_8.9G
F_11	R_2_RevComp	D11_4.28.20_8.10C
F_11	R_4_RevComp_A	D10_5.6.20_8.10D
F_11	R_5_RevComp_A	D13_5.1.20_8.10E
F_11	R_6_RevComp_A	D12_5.1.20_8.10F
F_11	R_8_RevComp_A	D14_5.1.20_8.10G
F_11	R_10_RevComp_A	D15_5.1.20_8.10H
F_11	R_11_RevComp_A	D16_5.1.20_8.11A
F_11	R_23_RevComp_A	D09_5.11.20_8.11C
F_12	R_2_RevComp	P10_5.19.20_8.11D
F_12	R_4_RevComp_A	P03_5.18.20_8.11E
F_12	R_5_RevComp_A	D17_5.24.20_8.12B
F_12	R_6_RevComp_A	D17_5.31.20_8.12C
F_12	R_8_RevComp_A	D18_5.25.20_8.12D
F_12	R_10_RevComp_A	D18_5.31.20_8.12E
F_12	R_11_RevComp_A	D19_5.24.20_8.12F
F_12	R_23_RevComp_A	D19_5.31.20_8.12G
F_13	R_2_RevComp	P40_11.2.2019_8.4A
F_13	R_4_RevComp_A	P40_11.26.2019_8.4B
F_13	R_5_RevComp_A	P40_1.31.2019_8.4C
F_13	R_6_RevComp_A	P40_2.25.20_8.4D
F_13	R_8_RevComp_A	P24_3.2.20_8.4E
F_13	R_10_RevComp_A	P25_2.26.20_8.4F
F_13	R_11_RevComp_A	P10_3.16.20_8.4G
F_13	R_23_RevComp_A	P18_3.15.20_8.4H
F_14	R_2_RevComp	P11_1.27.20_8.1E
F_14	R_4_RevComp_A	P24_1.31.20_8.1F
F_14	R_5_RevComp_A	P25_1.27.20_8.1G
F_14	R_6_RevComp_A	P18_2.21.20_8.1H
F_14	R_8_RevComp_A	Superblock_PCV_C
F_14	R_10_RevComp_A	Superblock_PCV_D
F_14	R_11_RevComp_A	JA_Serum_PCV_C
F_14	R_23_RevComp_A	JA_Serum_PCV_D
